_to,_from,cityFrom,cityTo,distance,time
369,840,Manchester,Warrington,,
370,371,Leeds,Kingston upon Hull,101,73
370,623,Leeds,Doncaster,52.8,
373,374,Helsingborg,Halmstad,80.7,
373,793,Helsingborg,Jönköping,235,158
375,376,Örebro,Stockholm,197,134
375,831,Örebro,Karlstad,109,80
375,832,Örebro,Västerås,94.4,67
376,796,Stockholm,Södertälje,36.0,
376,797,Stockholm,Uppsala,71.0,
377,378,Tallinn,Narva,211,153
377,711,Tallinn,Riga,309,247
377,998,Tallinn,Tartu,186,137
377,1006,Tallinn,Keila,26.9,
379,380,Cork,Waterford,,
379,986,Cork,Portlaoise,168,106
380,381,Waterford,Wexford,,
381,382,Wexford,Rosslare,18.7,
383,384,Fishguard,Swansea,114,92
384,385,Swansea,Bridgend,38.1,
385,386,Bridgend,Cardiff,33.0,
386,387,Cardiff,Newport,,
387,388,Newport,Bristol,,
389,390,Colchester,Ipswich,,
389,861,Colchester,Harwich,,
390,391,Ipswich,Felixstowe,,
390,855,Ipswich,Cambridge,,
392,393,The Hague,Gouda,,
394,395,Amersfoort,Oldenzaal,116,83
394,987,Amersfoort,Hoogeveen,117,77
395,396,Oldenzaal,Osnabrück,86.9,65
396,397,Osnabrück,Bad Oeynhausen,61.1,
397,669,Bad Oeynhausen,Dortmund,141,92
398,399,Braunschweig,Magdeburg,95.9,65
399,682,Magdeburg,Halle,86.3,63
400,401,Poznań,Warsaw,311,187
400,424,Poznań,Wrocław,182,119
401,402,Warsaw,Brest,2126,1223
401,731,Warsaw,Elbląg,283,191
401,732,Warsaw,Radom,105,85
401,1019,Warsaw,Lublin,171,124
402,403,Brest,Minsk,2664,62
402,452,Brest,Rennes,243,153
402,475,Brest,Lorient,135,87
403,404,Minsk,Smolensk,330,235
403,1008,Minsk,Babruysk,144,113
405,406,Ryazan,Penza,446,347
407,851,Ufa,Yelabuga,326,269
409,410,Bruges,Ghent,52.1,
409,862,Bruges,Zeebrugge,18.0,
409,1024,Bruges,Roeselare,37.9,
410,411,Ghent,Brussels,57.0,
411,412,Brussels,Leuven,30.2,
412,1014,Leuven,Hasselt,56.0,
413,414,Eupen,Aachen,18.8,
413,876,Eupen,St. Vith,59.6,
413,1029,Eupen,Eynatten,8.3,
414,1015,Aachen,Heerlen,19.8,
415,416,Olpe,Wetzlar,86.3,65
416,417,Wetzlar,Gießen,16.0,
416,669,Wetzlar,Dortmund,160,107
416,670,Wetzlar,Aschaffenburg,102,62
416,883,Wetzlar,Koblenz,95.0,68
417,418,Gießen,Bad Hersfeld,90.0,66
418,419,Bad Hersfeld,Eisenach,56.7,
419,420,Eisenach,Erfurt,69.4,
420,421,Erfurt,Gera,84.7,60
421,422,Gera,Chemnitz,67.0,
421,690,Gera,Leipzig,69.1,69
421,691,Gera,Hirschberg,80.5,
422,683,Chemnitz,Plauen,74.8,
424,425,Wrocław,Opole,97.4,80
424,712,Wrocław,Kłodzko,90.5,89
425,426,Opole,Gliwice,82.3,61
426,427,Gliwice,Zabrze,12.9,
428,429,Kraków,Rzeszów,168,104
428,732,Kraków,Radom,197,143
428,733,Kraków,Trstená,111,104
429,430,Rzeszów,Jarosław,59.6,
429,732,Rzeszów,Radom,192,178
429,1016,Rzeszów,Barwinek,479,271
430,431,Jarosław,Korczowa,44.0,
431,432,Korczowa,Lviv,77.9,86
432,433,Lviv,Rivne,211,168
432,465,Lviv,Mukachevo,229,205
432,1019,Lviv,Lublin,218,206
433,434,Rivne,Zhytomyr,189,132
433,1020,Rivne,Kovel,150,134
434,468,Zhytomyr,Vinnytsia,128,108
436,437,Beyneu,Qo‘ng‘irot,403,441
437,438,Qo‘ng‘irot,Nukus,114,106
438,439,Nukus,Daşoguz,139,127
439,440,Daşoguz,Bukhara,492,416
439,523,Daşoguz,Ashgabat,598,487
439,950,Daşoguz,Uchkuduk,472,409
440,441,Bukhara,Navoiy,115,115
440,527,Bukhara,Alat,,
440,528,Bukhara,Karshi,3560,79
440,950,Bukhara,Uchkuduk,362,294
441,442,Navoiy,Samarkand,170,170
442,443,Samarkand,Jizzakh,110,112
442,953,Samarkand,Guza,,
445,446,Sary-Ozek,Taldykorgan,92.0,73
445,969,Sary-Ozek,Koktal,331,231
446,447,Taldykorgan,Ucharal,359,377
447,448,Ucharal,Taskesken,145,176
448,449,Taskesken,Ayagoz,103,115
448,973,Taskesken,Bakhty,173,134
450,451,Oskemen,Ridder,,
452,453,Rennes,Le Mans,153,99
453,478,Le Mans,Angers,98.4,72
453,479,Le Mans,Tours,97.9,69
453,885,Le Mans,Rouen,211,131
454,874,Reims,Charleroi,,
454,881,Reims,Charleville-Mézières,85.8,64
454,885,Reims,Rouen,291,171
455,456,Saarbrücken,Mannheim,134,87
455,882,Saarbrücken,Trier,96.5,72
456,457,Mannheim,Heilbronn,80.4,63
458,459,Rozvadov,Plzeň,68.0,
459,687,Plzeň,Karlovy Vary,81.1,70
459,688,Plzeň,České Budějovice,135,121
459,694,Plzeň,Bayerisch Eisenstein,85.2,83
460,461,Trenčín,Prešov,297,187
460,1045,Trenčín,Žiar nad Hronom,99.4,86
461,462,Prešov,Košice,37.4,
461,1018,Prešov,Svidník,54.8,
462,463,Košice,Vyšné Nemecké,90.9,83
462,464,Košice,Uzhhorod,152,152
462,717,Košice,Miskolc,87.1,84
462,735,Košice,Zvolen,211,163
463,464,Vyšné Nemecké,Uzhhorod,80.2,88
464,465,Uzhhorod,Mukachevo,40.6,
464,1047,Uzhhorod,Chop,,
465,466,Mukachevo,Stryj,159,138
465,748,Mukachevo,Halmeu,76.5,91
467,468,Khmelnytskyi,Vinnytsia,120,124
468,469,Vinnytsia,Uman,161,143
468,1067,Vinnytsia,Mohyliv-Podilskyi,118,107
469,470,Uman,Kirovohrad,170,164
470,471,Kirovohrad,Dnipropetrovsk,265,270
470,896,Kirovohrad,Chişinău,327,370
470,1068,Kirovohrad,Poltava,255,245
471,472,Dnipropetrovsk,Donetsk,268,267
472,473,Donetsk,Rostov-on-Don,205,183
473,474,Rostov-on-Don,Armavir,1197,1037
473,899,Rostov-on-Don,Taganrog,73.1,78
475,476,Lorient,Vannes,58.5,
476,477,Vannes,Nantes,113,82
477,478,Nantes,Angers,90.8,66
477,900,Nantes,Poitiers,219,133
478,479,Angers,Tours,127,83
479,620,Tours,Vierzon,129,78
480,481,Montargis,Auxerre,85.1,
481,482,Auxerre,Beaune,146,87
482,483,Beaune,Dole,,
482,628,Beaune,Antwerp,613,357
483,484,Dole,Besançon,,
484,485,Besançon,Belfort,95.1,72
486,487,Zürich,Winterthur,,
487,488,Winterthur,St. Gallen,,
487,672,Winterthur,Schaffhausen,,
488,489,St. Gallen,St. Margrethen,27.9,
489,490,St. Margrethen,Bregenz,12.5,
489,675,St. Margrethen,Buchs,39.6,
490,491,Bregenz,Feldkirch,33.3,
490,674,Bregenz,Lindau,20.2,
491,492,Feldkirch,Landeck,82.7,70
491,494,Feldkirch,Lauterach,30.1,
491,495,Feldkirch,Imst,100,84
492,493,Landeck,Telfs,46.0,
497,696,Sattledt,Liezen,76.3,
497,893,Sattledt,Wels,,
498,499,Sankt Pölten,Vienna,65.3,
499,500,Vienna,Nickelsdorf,72.1,
499,689,Vienna,Halámky,148,115
499,698,Vienna,Graz,199,129
500,501,Nickelsdorf,Mosonmagyaróvár,20.8,
502,503,Szolnok,Püspökladány,80.7,67
503,504,Püspökladány,Oradea,90.9,92
503,1046,Püspökladány,Nyíregyháza,98.4,78
504,505,Oradea,Cluj-Napoca,158,160
504,737,Oradea,Berettyóújfalu,41.8,
504,738,Oradea,Beiuş,63.9,68
504,749,Oradea,Satu Mare,140,122
504,910,Oradea,Arad,114,105
505,506,Cluj-Napoca,Turda,34.1,
505,750,Cluj-Napoca,Zalău,86.3,93
505,1052,Cluj-Napoca,Dej,,
506,507,Turda,Târgu Mureş,76.1,81
506,751,Turda,Sebeş,81.9,79
507,508,Târgu Mureş,Braşov,169,156
508,509,Braşov,Ploieşti,111,109
508,752,Braşov,Sibiu,144,136
508,753,Braşov,Piteşti,140,169
508,1048,Braşov,Bacău,179,179
509,1053,Ploieşti,Buzău,71.6,67
510,511,Slobozia,Hârşova,87.6,71
510,758,Slobozia,Galaţi,117,99
511,512,Hârşova,Constanţa,88.5,74
512,513,Constanţa,Agigea,8.5,
512,554,Constanţa,Varna,159,135
512,759,Constanţa,Tulcea,128,107
513,1095,Agigea,Negru Vodă,47.8,
514,515,Poti,Senaki,37.5,
514,558,Poti,Batumi,75.1,82
515,516,Senaki,Samtredia,27.3,
515,785,Senaki,Zugdidi,44.4,
516,517,Samtredia,Kutaisi,41.9,
516,1108,Samtredia,Lanchkhuti,33.6,
517,518,Kutaisi,Khashuri,101,106
518,519,Khashuri,Gori,51.8,
520,521,Rustavi,Ganja,,
521,522,Ganja,Yevlakh,,
523,524,Ashgabat,Tejen,225,157
523,951,Ashgabat,Gaudan,,
524,525,Tejen,Mary,148,118
525,526,Mary,Türkmenabat,247,208
526,527,Türkmenabat,Alat,,
528,529,Karshi,Guzar,3765,81
529,530,Guzar,Sherobod,160,151
530,531,Sherobod,Termez,62.3,66
532,533,Jirgatal,Sary Tash,,
532,959,Jirgatal,Khorugh,,
533,534,Sary Tash,Irkeshtam,69.5,73
534,956,Irkeshtam,Osh,,
535,536,A Coruña,Bilbao,542,317
535,591,A Coruña,Pontevedra,133,83
536,1139,Bilbao,Logroño,136,86
537,621,Clermont-Ferrand,Montluçon,113,77
537,622,Clermont-Ferrand,Montpellier,332,205
538,539,Chambéry,Susa,4889,125
538,1110,Chambéry,Marseille,339,216
539,540,Susa,Turin,4761,122
540,1112,Turin,Savona,,
541,542,Tortona,Brescia,161,108
543,544,Trieste,Postojna,46.7,
543,545,Trieste,Ljubljana,93.9,72
544,545,Postojna,Ljubljana,53.1,
545,699,Ljubljana,Maribor,127,83
545,702,Ljubljana,Naklo,33.6,
547,548,Vršac,Timişoara,75.6,73
548,549,Timişoara,Drobeta-Turnu Severin,229,194
548,910,Timişoara,Arad,60.8,
549,550,Drobeta-Turnu Severin,Craiova,111,95
550,551,Craiova,Alexandria,,
550,741,Craiova,Târgu Jiu,111,96
550,742,Craiova,Calafat,2480,62
550,753,Craiova,Piteşti,124,120
552,553,Razgrad,Shumen,48.0,
553,554,Shumen,Varna,88.8,61
554,760,Varna,Burgas,131,118
555,556,Ordu,Giresun,47.5,
556,557,Giresun,Trabzon,130,111
557,558,Trabzon,Batumi,206,180
559,560,Lisbon,Valladolid,587,338
559,593,Lisbon,Porto,,
559,594,Lisbon,Albufeira,256,143
561,562,Toulouse,Nice,560,329
562,911,Nice,Cuneo,127,147
563,564,Sofia,Plovdiv,146,104
563,745,Sofia,Botevgrad,64.1,
563,746,Sofia,Blagoevgrad,102,75
563,1154,Sofia,Kyustendil,104,85
564,565,Plovdiv,Istanbul,418,290
565,566,Istanbul,İzmit,104,85
566,567,İzmit,Gerede,214,154
566,580,İzmit,Bursa,134,101
567,568,Gerede,Amasya,357,251
567,775,Gerede,Kızılcahamam,61.5,
568,569,Amasya,Erzurum,559,396
569,570,Erzurum,Gürbulak,311,226
570,571,Gürbulak,Iran,1336,899
572,573,Mazara del Vallo,Palermo,135,99
574,575,Reggio Calabria,Metaponto,340,216
575,576,Metaponto,Taranto,49.2,
575,1150,Metaponto,Potenza,109,77
577,931,Ioannina,Trikala,124,122
577,1164,Ioannina,Arta,70.8,
578,766,Gelibolu,Keşan,76.7,
578,767,Gelibolu,Ayvalık,216,219
579,580,Lapseki,Bursa,241,175
580,581,Bursa,Ankara,389,282
580,1155,Bursa,Balıkesir,147,98
581,582,Ankara,Adana,486,323
581,775,Ankara,Kızılcahamam,80.6,66
581,928,Ankara,Yozgat,216,156
582,583,Adana,Nusaybin,585,388
583,584,Nusaybin,Khabur River,577,483
584,585,Khabur River,Iraq,496,437
586,587,Larne,Belfast,36.7,
587,588,Belfast,Newry,62.3,
587,812,Belfast,Derry,113,90
587,820,Belfast,Craigavon,44.2,
588,589,Newry,Dundalk,,
589,590,Dundalk,Drogheda,,
591,592,Pontevedra,Valença,113,96
592,593,Valença,Porto,,
593,918,Porto,Vila Real,,
594,595,Albufeira,Castro Marim,91.7,60
595,596,Castro Marim,Huelva,56.4,
597,598,Cherbourg-Octeville,La Rochelle,482,303
597,884,Cherbourg-Octeville,Caen,122,81
598,1072,La Rochelle,Niort,63.0,
598,1073,La Rochelle,Saintes,74.1,
600,601,Oslo,Hamar,126,92
600,819,Oslo,Sandvika,14.5,
600,829,Oslo,Drammen,42.9,
600,830,Oslo,Askim,54.5,
601,602,Hamar,Lillehammer,61.1,64
602,603,Lillehammer,Dombås,154,124
603,604,Dombås,Trondheim,197,170
603,985,Dombås,Åndalsnes,105,89
604,605,Trondheim,Stjørdal,33.3,
604,634,Trondheim,Orkanger,41.0,
605,606,Stjørdal,Steinkjer,86.5,74
606,607,Steinkjer,Mosjøen,270,237
607,608,Mosjøen,Mo i Rana,87.8,85
608,609,Mo i Rana,Rognan,148,125
608,800,Mo i Rana,Umeå,474,381
609,610,Rognan,Fauske,,
612,613,Setermoen,Alta,,
613,614,Alta,Olderfjord,,
614,615,Olderfjord,Lakselv,63.3,
614,716,Olderfjord,Nordkapp,128,131
615,616,Lakselv,Karasjok,73.9,
617,618,Pau  Pyrénées-Atlantiques,Jaca,112,114
618,619,Jaca,Zaragoza,142,94
619,1139,Zaragoza,Logroño,170,105
620,621,Vierzon,Montluçon,122,80
623,624,Doncaster,Sheffield,38.4,
623,841,Doncaster,Immingham,71.5,
624,625,Sheffield,Nottingham,71.7,62
625,626,Nottingham,Leicester,48.1,
626,627,Leicester,Northampton,,
628,862,Antwerp,Zeebrugge,101,81
629,902,Martigny,Sion,28.3,
633,842,Bremen,Groningen,179,115
633,991,Bremen,Bremerhaven,67.0,
633,992,Bremen,Walsrode,70.9,
634,635,Orkanger,Vinjeøra,53.4,
635,636,Vinjeøra,Halsa,,
636,637,Halsa,Straumsnes,,
637,638,Straumsnes,Kristiansund Mainland Connection,,
638,639,Kristiansund Mainland Connection,Batnfjordsøra,,
639,640,Batnfjordsøra,Molde,35.3,
641,642,Vestnes,Skodje,44.9,
642,643,Skodje,Ålesund,27.6,
643,644,Ålesund,Volda,70.0,97
643,984,Ålesund,Tresfjord,66.0,61
644,645,Volda,Nordfjordeid,71.3,63
646,647,Sandane,Førde,81.1,74
647,648,Førde,Lavik,60.0,
649,650,Instefjord,Knarvik,71.2,62
650,651,Knarvik,Bergen,28.7,
651,652,Bergen,Os,,
651,813,Bergen,Arna,,
653,654,Stord,Sveio,,
654,655,Sveio,Aksdal,33.6,
655,656,Aksdal,Bokn,32.2,
657,658,Rennesøy,Randaberg,16.1,
658,659,Randaberg,Stavanger,11.3,
659,660,Stavanger,Sandnes,16.1,
660,661,Sandnes,Helleland,57.0,
661,662,Helleland,Flekkefjord,58.5,
662,663,Flekkefjord,Lyngdal,54.3,60
663,664,Lyngdal,Mandal,,
664,665,Mandal,Kristiansand,,
665,824,Kristiansand,Arendal,65.5,
666,667,Hirtshals,Hjørring,17.5,
667,668,Hjørring,Nørresundby,48.9,
671,672,Stuttgart,Schaffhausen,168,108
671,673,Stuttgart,Ulm,,
673,674,Ulm,Lindau,,
674,890,Lindau,Waldshut,144,125
675,676,Buchs,Chur,44.1,
676,677,Chur,San Bernardino,,
679,680,Puttgarden,Oldenburg in Holstein,35.2,
680,681,Oldenburg in Holstein,Lübeck,59.1,
682,683,Halle,Plauen,157,114
682,1026,Halle,Tournai,739,445
683,684,Plauen,Schönberg,308,188
683,692,Plauen,Hof,30.8,
684,685,Schönberg,Vojtanov,271,168
685,686,Vojtanov,Cheb,13.0,
686,687,Cheb,Karlovy Vary,46.2,
686,887,Cheb,Marktredwitz,29.2,
687,1030,Karlovy Vary,Teplice,102,86
688,689,České Budějovice,Halámky,49.7,
688,1043,České Budějovice,Humpolec,115,88
691,692,Hirschberg,Hof,17.3,
692,693,Hof,Bayreuth,55.8,
693,886,Bayreuth,Schweinfurt,112,75
693,887,Bayreuth,Marktredwitz,51.7,
694,695,Bayerisch Eisenstein,Deggendorf,51.6,
696,697,Liezen,Sankt Michael,119,89
696,1081,Liezen,Altenmarkt im Pongau,72.8,60
697,698,Sankt Michael,Graz,178,141
698,699,Graz,Maribor,68.5,
698,700,Graz,Spielfeld,49.7,
698,907,Graz,Klagenfurt,136,92
698,908,Graz,Veszprém,240,173
699,700,Maribor,Spielfeld,22.8,
701,702,Karavanke Tunnel,Naklo,57.6,
702,1082,Naklo,Loiblpass,28.2,
703,704,Kemijärvi,Posio,98.1,86
704,705,Posio,Kuusamo,58.4,
705,706,Kuusamo,Kajaani,247,176
706,707,Kajaani,Iisalmi,87.4,70
707,708,Iisalmi,Kuopio,87.5,66
709,710,Tampere,Turku,163,129
709,809,Tampere,Vaasa,240,188
709,811,Tampere,Hämeenlinna,78.9,
710,810,Turku,Pori,140,112
711,728,Riga,Šiauliai,132,113
711,845,Riga,Ventspils,189,146
711,846,Riga,Rēzekne,240,186
712,713,Kłodzko,Kudowa-Zdrój,37.2,
713,714,Kudowa-Zdrój,Náchod,7.1,
714,715,Náchod,Hradec Králové,42.3,
715,1031,Hradec Králové,Olomouc,143,118
717,736,Miskolc,Debrecen,114,78
720,721,Szekszárd,Mohács,48.4,
721,722,Mohács,Osijek,64.6,
722,723,Osijek,Đakovo,52.2,
722,1092,Osijek,Sombor,71.6,76
723,724,Đakovo,Šamac,39.3,
724,725,Šamac,Zenica,144,134
725,726,Zenica,Mostar,183,154
725,1091,Zenica,Donji Vakuf,62.2,75
725,1116,Zenica,Sarajevo,72.6,63
726,727,Mostar,Metković,51.2,
728,729,Šiauliai,Tolpaki,200,165
728,1009,Šiauliai,Palanga,149,117
728,1010,Šiauliai,Panevėžys,79.2,70
729,730,Tolpaki,Kaliningrad,59.1,
729,859,Tolpaki,Nesterov,83.4,70
733,734,Trstená,Ružomberok,53.6,
734,735,Ružomberok,Zvolen,71.5,66
736,737,Debrecen,Berettyóújfalu,44.0,
738,739,Beiuş,Deva,,
739,740,Deva,Petroşani,,
739,752,Deva,Sibiu,,
739,910,Deva,Arad,,
740,741,Petroşani,Târgu Jiu,58.0,63
743,744,Vidin,Vraca,124,108
744,745,Vraca,Botevgrad,49.6,
745,755,Botevgrad,Jablanica,747,635
746,747,Blagoevgrad,Serres,127,104
748,749,Halmeu,Satu Mare,35.2,
749,750,Satu Mare,Zalău,93.0,92
751,752,Sebeş,Sibiu,59.8,
752,753,Sibiu,Piteşti,161,164
754,755,Pleven,Jablanica,847,708
756,757,Izmail,Reni,68.6,61
757,758,Reni,Galaţi,25.4,
758,759,Galaţi,Tulcea,83.9,111
758,1069,Galaţi,Giurgiuleşti,18.6,
760,761,Burgas,Malko Tarnovo,73.8,63
761,762,Malko Tarnovo,Dereköy,20.3,
762,763,Dereköy,Kırklareli,36.0,
763,764,Kırklareli,Babaeski,36.0,
764,765,Babaeski,Havsa,28.9,
765,766,Havsa,Keşan,101,81
766,922,Keşan,Tekirdağ,97.8,75
767,768,Ayvalık,İzmir,156,110
768,769,İzmir,Selçuk,79.3,
768,935,İzmir,Usak,220,170
768,1156,İzmir,Manisa,38.5,
768,1157,İzmir,Çeşme,86.8,61
769,770,Selçuk,Aydın,134,127
770,771,Aydın,Denizli,84.3,93
771,772,Denizli,Acıpayam,56.5,
772,773,Acıpayam,Korkuteli,122,87
773,774,Korkuteli,Antalya,67.1,79
776,777,Toprakkale,İskenderun,71.7,
777,778,İskenderun,Antakya,62.0,71
778,779,Antakya,Yayladağı,43.0,
779,780,Yayladağı,Syria,475,347
781,782,Kherson,Dzhankoy,202,175
781,897,Kherson,Mykolaiv,71.2,72
781,898,Kherson,Melitopol,231,213
783,784,Sochi,Sukhumi,148,144
784,785,Sukhumi,Zugdidi,98.7,92
786,787,Şanlıurfa,Diyarbakır,178,135
787,788,Diyarbakır,Bitlis,205,168
788,789,Bitlis,Doğubeyazit,280,219
789,790,Doğubeyazit,Iğdir,51.6,
790,791,Iğdir,Dilucu,114,91
791,792,Dilucu,Sadarak,68.0,
792,949,Sadarak,Nakhchivan,100,83
793,794,Jönköping,Linköping,128,89
794,795,Linköping,Norrköping,44.1,
795,796,Norrköping,Södertälje,130,87
795,844,Norrköping,Kalmar,245,175
797,798,Uppsala,Sundsvall,311,205
798,799,Sundsvall,Örnsköldsvik,155,118
799,800,Örnsköldsvik,Umeå,110,83
801,802,Haparanda,Tornio,1.8,
802,807,Tornio,Kolari,,
803,804,Tromsø,Nordkjosbotn,71.3,64
804,805,Nordkjosbotn,Skibotn,46.7,
805,806,Skibotn,Kilpisjärvi,49.3,
806,807,Kilpisjärvi,Kolari,,
808,809,Kokkola,Vaasa,121,94
809,810,Vaasa,Pori,192,144
813,814,Arna,Voss,,
814,815,Voss,Lærdal,121,123
815,816,Lærdal,Tyin,48.4,
816,817,Tyin,Fagernes,85.6,84
817,818,Fagernes,Hønefoss,127,111
818,819,Hønefoss,Sandvika,42.9,
821,822,Stranraer,Gretna,,
822,823,Gretna,Carlisle,1806,991
824,825,Arendal,Porsgrunn,111,85
825,826,Porsgrunn,Larvik,26.0,
826,827,Larvik,Sandefjord,18.0,
827,828,Sandefjord,Horten,42.0,
828,829,Horten,Drammen,54.5,
829,983,Drammen,Kongsberg,39.4,
830,831,Askim,Karlstad,166,124
832,833,Västerås,Stockholm/Kapellskär,175,119
835,836,Kotka,Vaalimaa,67.9,
836,837,Vaalimaa,Vyborg,60.9,63
838,839,Holyhead,Chester,,
839,840,Chester,Warrington,61.4,
842,987,Groningen,Hoogeveen,63.5,
843,993,Sassnitz,Stralsund,51.7,
846,847,Rēzekne,Velikiye Luki,222,164
846,996,Rēzekne,Daugavpils,89.4,72
846,997,Rēzekne,Ostrov,,
848,849,Vladimir,Nizhny Novgorod,,
849,850,Nizhny Novgorod,Kazan,394,344
850,851,Kazan,Yelabuga,211,156
851,852,Yelabuga,Perm,,
852,853,Perm,Yekaterinburg,,
853,854,Yekaterinburg,Tyumen,323,273
856,857,Koszalin,Słupsk,68.3,66
857,858,Słupsk,Gdynia,109,105
859,860,Nesterov,Marijampolė,55.1,
862,1027,Zeebrugge,Jabbeke,25.0,
867,868,Aktobe,Karabutak,226,208
868,869,Karabutak,Aral,,
869,870,Aral,Novokazalinsk,,
871,872,Dunkirk,Lille,79.3,
872,873,Lille,Mons,77.4,
873,874,Mons,Charleroi,,
874,875,Charleroi,Namur,,
874,1028,Charleroi,Nivelles,,
876,877,St. Vith,Wittlich,78.6,
877,878,Wittlich,Bingen,105,79
878,879,Bingen,Wiesbaden,34.0,
880,881,Amiens,Charleville-Mézières,233,155
882,883,Trier,Koblenz,130,83
884,885,Caen,Rouen,131,89
884,1023,Caen,Saint-Brieuc,230,145
891,892,Regensburg,Passau,120,80
892,893,Passau,Wels,,
893,1044,Wels,Braunau am Inn,,
894,895,Iaşi,Sculeni,26.1,
894,1065,Iaşi,Săbăoani,77.1,76
894,1066,Iaşi,Bălţi,85.6,95
895,896,Sculeni,Chişinău,126,122
896,1064,Chişinău,Leuşeni,75.2,80
896,1069,Chişinău,Giurgiuleşti,216,206
898,899,Melitopol,Taganrog,306,277
900,901,Poitiers,Mâcon,412,301
902,903,Sion,Simplon,74.1,67
903,904,Simplon,Gravellona Toce,73.2,61
905,906,Innichen,Spittal an der Drau,112,101
907,1082,Klagenfurt,Loiblpass,30.7,
908,909,Veszprém,Székesfehérvár,46.8,
911,912,Cuneo,Asti,,
913,914,Pisa,Migliarino,245,157
915,916,Grosseto,Arezzo,134,111
916,917,Arezzo,Sansepolcro,36.8,
918,919,Vila Real,Bragança,118,74
918,1128,Vila Real,Viseu,97.1,67
918,1129,Vila Real,Chaves,66.6,
919,920,Bragança,Zamora,127,113
919,1131,Bragança,Guarda,179,121
920,921,Zamora,Tordesillas,69.8,
922,923,Tekirdağ,Silivri,71.9,
924,925,Kristalopigi,Florina,49.3,
925,926,Florina,Vévi,20.1,
926,927,Vévi,Géfira,729,474
928,929,Yozgat,Sivas,224,162
929,930,Sivas,Refahiye,178,137
933,934,Megara,Attiki Odos,,
935,936,Usak,Afyonkarahisar,110,84
936,937,Afyonkarahisar,Sivrihisar,130,99
938,939,Topboğazi,Kırıkhan,11.1,
939,940,Kırıkhan,Reyhanlı,37.6,
940,941,Reyhanlı,Cilvegözü,8.8,
942,943,Sadakhlo,Bagratashen,7.7,
943,944,Bagratashen,Vanadzor,87.8,132
945,946,Saatly Rayon,Mehgri,420,441
946,947,Mehgri,Ordubad,156,163
947,948,Ordubad,Djulfa,39.4,
948,949,Djulfa,Nakhchivan,46.8,
950,952,Uchkuduk,Kzylorda,1247,964
954,955,Kokand,Andijan,132,132
955,956,Andijan,Osh,,
957,958,Kulob,Kalaikhumb,170,189
958,959,Kalaikhumb,Khorugh,241,292
959,960,Khorugh,Murghab,317,293
959,962,Khorugh,Ishkoshim,108,121
960,961,Murghab,Kulma,,
962,963,Ishkoshim,Lyanga,,
963,964,Lyanga,China,,
965,966,Kokpek,Kegen,78.6,64
965,968,Kokpek,Chundzha,69.0,
966,967,Kegen,Tyup,105,94
968,969,Chundzha,Koktal,516,366
969,970,Koktal,Khorgas,,
971,972,Usharal,Druzhba,164,211
974,975,Zapadnoe,Zhaksy,,
974,978,Zapadnoe,Petropavl,,
975,976,Zhaksy,Atbasar,86.5,70
979,980,Haugesund,Røldal,138,132
980,981,Røldal,Haukeli,55.4,
981,982,Haukeli,Seljord,88.1,79
982,983,Seljord,Kongsberg,82.1,82
984,985,Tresfjord,Åndalsnes,54.2,
987,988,Hoogeveen,Haselünne,71.2,
988,989,Haselünne,Cloppenburg,46.6,
990,991,Cuxhaven,Bremerhaven,42.9,
993,994,Stralsund,Neubrandenburg,102,66
995,996,Ukmergė,Daugavpils,140,122
995,1010,Ukmergė,Panevėžys,66.6,
998,999,Tartu,Võru,71.3,
998,1001,Tartu,Jõhvi,129,95
998,1002,Tartu,Valga,85.1,66
999,1000,Võru,Luhamaa,,
1002,1003,Valga,Valka,4.1,
1003,1004,Valka,Valmiera,49.0,
1004,1005,Valmiera,Incukalns,74.0,65
1006,1007,Keila,Paldiski,23.0,
1011,1012,Breda,Gorinchem,38.0,
1011,1013,Breda,Flushing,,
1014,1015,Hasselt,Heerlen,56.8,
1016,1017,Barwinek,Vyšný Komárnik,498,330
1017,1018,Vyšný Komárnik,Svidník,17.2,
1019,1020,Lublin,Kovel,159,132
1021,1022,Trosna,Glukhkov,168,134
1024,1025,Roeselare,Kortrijk,23.6,
1025,1026,Kortrijk,Tournai,35.4,
1031,1033,Olomouc,Český Těšín,114,84
1034,1035,Courtney,Troyes,,
1038,1039,Memmingen,Füssen,71.7,
1040,1041,Garmisch-Partenkirchen,Mittenwald,18.1,
1041,1042,Mittenwald,Seefeld,15.5,
1046,1047,Nyíregyháza,Chop,,
1049,1050,Dunajská Streda,Medveďov,29.9,
1050,1051,Medveďov,Vámosszabadi,6.6,
1054,1055,Sărăţel,Reghin,48.7,
1055,1056,Reghin,Topliţa,69.7,64
1056,1057,Topliţa,Gheorgheni,36.3,
1057,1058,Gheorgheni,Miercurea-Ciuc,56.3,
1058,1059,Miercurea-Ciuc,Sfântu Gheorghe,69.6,67
1059,1060,Sfântu Gheorghe,Chichiş,14.5,
1061,1062,Tişiţa,Tecuci,25.8,
1062,1063,Tecuci,Albiţa,137,127
1063,1064,Albiţa,Leuşeni,10.5,
1066,1067,Bălţi,Mohyliv-Podilskyi,109,107
1070,1071,Krasnodar,Djoubga,,
1073,1074,Saintes,Angoulême,72.2,68
1074,1075,Angoulême,Limoges,104,84
1076,1077,Digoin,Chalon-sur-Saône,88.2,64
1079,1080,St. Johann in Tirol,Lofer,24.3,
